timestamp,sender,message,message_length,date,year,month,hour,sentiment_polarity,sentiment_category,prev_sender,response_time,emojis,emoji_sentiment,conversation_cluster
2020-09-28 15:34:00,Daddyyy❤️,Dheiva level match... Probably the first non CSK Match iv enjoyed after ages..,78,2020-09-28,2020,9,15,0.375,positive,,,[],0.0,1
2020-09-28 18:11:00,Aija❤️,Bus ku kaasu vaenum la,22,2020-09-28,2020,9,18,0.0,neutral,Daddyyy❤️,157.0,[],0.0,2
2020-09-28 20:54:00,Aija❤️,🤣🤣🤣🤣🤣🤣🤣🤣🤣,9,2020-09-28,2020,9,20,0.0,neutral,Aija❤️,163.0,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']",0.5,3
2020-09-28 20:56:00,Daddyyy❤️,Send me address of new flat,27,2020-09-28,2020,9,20,0.0556818181818181,positive,Aija❤️,2.0,[],0.0,0
2020-09-28 21:04:00,Daddyyy❤️,படத்தைப் பெரிதாக்கிப் பார்க்கவும். இதை வரைந்த அற்புதமான கலைஞனுக்கு வாழ்த்துகள்.,79,2020-09-28,2020,9,21,0.0,neutral,Daddyyy❤️,8.0,[],0.0,1
2020-09-28 21:08:00,Aija❤️,Aiyo aamaaa marandhuten.. Arvi knows..,38,2020-09-28,2020,9,21,0.0,neutral,Daddyyy❤️,4.0,[],0.0,1
2020-09-28 21:10:00,Aija❤️,100 Dundalk Dr,14,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,2.0,[],0.0,0
2020-09-28 21:31:00,Daddyyy❤️,Aija..idhu yaaru kuzhandai sollu..,34,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,21.0,[],0.0,1
2020-09-28 21:46:00,Aija❤️,Kc kadhampari's 😊,17,2020-09-28,2020,9,21,0.0,neutral,Daddyyy❤️,15.0,['😊'],0.8,2
2020-09-28 21:47:00,Aija❤️,Harpic theriyum.. Idhu ena Harwin..,35,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,1.0,[],0.0,1
2020-09-28 21:53:00,Aija❤️,Solu,4,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,6.0,[],0.0,0
2020-09-28 21:53:00,Aija❤️,Yaarunu therla,14,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,0.0,[],0.0,2
2020-09-28 21:53:00,Aija❤️,😛😛😛,3,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,0.0,"['😛', '😛', '😛']",0.5,3
2020-09-28 21:53:00,Daddyyy❤️,Aiya... adhulaye mela.pottirukku kc kadhambari nu...,52,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,0.0,[],0.0,1
2020-09-28 21:54:00,Daddyyy❤️,Enna solu?,10,2020-09-28,2020,9,21,0.0,neutral,Daddyyy❤️,1.0,[],0.0,2
2020-09-28 21:54:00,Aija❤️,Yaaroda paiyan,14,2020-09-28,2020,9,21,0.0,neutral,Daddyyy❤️,0.0,[],0.0,0
2020-09-28 21:54:00,Daddyyy❤️,Adhaan sollittiye..,19,2020-09-28,2020,9,21,0.0,neutral,Aija❤️,0.0,[],0.0,1
